STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24
  370,20220125,   85,    4,   13,   20,    7,   10,    1,   40,    7,   31,    1,    1,   42,   14,    0,    6,    0,    0,  148,    0,    0,    0,    1,10340,10347,    2,10333,   18,   40,   24,   60,    8,    8,   82,   97,    1,   75,   13,    2
  370,20220126,  217,   39,   40,   60,   23,   10,    4,   90,   23,   29,   19,    4,   39,   24,   17,    6,    0,    0,   98,    0,    0,    0,    1,10318,10338,    1,10287,   24,   22,    8,   60,   24,    8,   86,   92,    9,   78,    1,    1
  370,20220127,  243,   53,   57,   80,    7,   30,   21,  120,    2,   61,   38,    1,   89,   16,   33,   24,    0,    0,   95,   36,   12,    4,    9,10258,10302,   24,10233,   13,   24,   10,   75,   18,    7,   86,   96,   10,   76,   18,    1
  370,20220128,  227,   36,   39,   70,   23,   20,    6,  110,   24,   52,   -2,    8,   91,   14,  -14,   12,   70,   78,  588,    0,   -1,   -1,    1,10332,10359,   10,10299,   24,   39,   19,   74,   15,    5,   88,   98,    8,   71,   14,    7
  370,20220129,  243,   65,   71,   90,   16,   40,   24,  170,   18,   88,   57,   24,  122,   16,   45,   24,    5,    6,  167,    0,   -1,   -1,    1,10252,10292,    1,10218,   14,   33,    3,   75,   14,    7,   84,   96,    3,   68,   22,    2
  370,20220130,  246,   28,   34,   60,   24,   20,   17,  100,   23,   52,   14,   19,   88,   14,  -10,   18,   51,   56,  494,    0,   -1,   -1,    1,10274,10315,   11,10166,   24,   62,    3,   68,   22,    6,   74,   82,    3,   57,   13,    6
  370,20220131,  286,   66,   73,  100,   11,   30,   23,  200,   10,   52,   20,   24,   68,    5,   11,   24,    0,    0,   96,  136,  101,   17,    2,10142,10220,   22,10087,    6,   48,    1,   70,    5,    8,   82,   93,    3,   70,   20,    1
  370,20220201,  255,   53,   60,   80,    9,   30,    1,  140,   20,   67,   14,    1,  103,   19,    6,    6,    0,    0,   96,   47,   21,    5,   12,10167,10221,    1,10130,   14,   18,   12,   74,   18,    8,   86,   97,   10,   74,   19,    1
  370,20220202,  262,   35,   38,   60,    1,   20,   18,  110,    1,   87,   72,    8,  107,   14,   65,   12,   21,   23,  385,    7,    2,    1,   21,10200,10218,   22,10163,    1,   19,   21,   70,   15,    8,   86,   98,   22,   74,   12,    5
  370,20220203,  215,   56,   57,   80,   13,   40,   22,  120,    9,   76,   66,   18,   88,    1,   65,   18,    2,    2,  197,    0,   -1,   -1,    1,10157,10209,    1,10126,   23,   48,   22,   75,    8,    8,   87,   95,   22,   76,   10,    3
  370,20220204,  220,   58,   64,   90,   13,   50,    1,  150,   16,   62,   24,   22,   90,   13,   17,   24,    4,    4,  208,   38,   29,   13,   15,10109,10163,   24,10048,   14,   56,   14,   75,   12,    7,   87,   92,   15,   78,   13,    3
  370,20220205,  225,   72,   73,  110,   22,   40,    8,  180,   19,   54,   15,    8,   82,   14,    9,   12,   74,   79,  653,   11,    4,    3,   23,10182,10213,   10,10128,   24,   58,   23,   80,   15,    5,   79,   90,    2,   64,   14,    8
